,mean,sd,median,min,max
nident,"239,962095875139","143,318532251324",235,1,540
country,"7,40691192865106","4,28849128821141",6,1,16
age,"64,2764771460424","9,8790358879624",65,34,89
sex,"0,377926421404682","0,485139596009089",0,0,1
pdonset,"56,298773690078","10,6773881074941",57,28,89
durat_pd,"7,97770345596433","5,75015081994743",7,0,40
scm1rue,"0,705685618729097","0,868792395769534",0,0,3
scm1lue,"0,663322185061315","0,84536769518012",0,0,3
scm2rue,"0,61984392419175","0,749528704710222",0,0,3
scm2lue,"0,603121516164994","0,740046496303142",0,0,3
scm3rue,"1,14046822742475","0,803383611325851",1,0,3
scm3lue,"1,26086956521739","0,847104128030733",1,0,3
scm4rue,"1,11817168338907","0,76142620641356",1,0,3
scm4lue,"1,11928651059086","0,804726788823649",1,0,3
scm5rise,"0,693422519509476","0,862597815924054",0,0,3
scm6post,"0,716833890746934","0,871213624118755",0,0,3
scm7gait,"0,957636566332218","0,742815431375777",1,0,3
scm8spee,"0,880713489409142","0,707293274447731",1,0,3
scm9free,"0,633221850613155","0,867525465900744",0,0,3
scm10swa,"0,435897435897436","0,661913573478123",0,0,3
scm11spe,"0,787068004459309","0,727589271685625",1,0,3
scm12fee,"0,882943143812709","0,743054919875554",1,0,3
scm13dre,"1,03790412486065","0,740046496303142",1,0,3
scm14hyg,"0,950947603121516","0,719500147778504",1,0,3
scm15cha,"0,98216276477146","0,802976191214057",1,0,3
scm16wal,"0,998885172798216","0,734207910453989",1,0,3
scm17han,"1,17056856187291","0,755118700781188",1,0,3
scm18dpr,"0,552954292084727","0,837016565646931",0,0,3
scm19dsv,"0,555183946488294","0,846156221492561",0,0,3
scm20fpr,"0,775919732441472","0,849080296964183",1,0,3
scm21fsv,"0,843924191750279","0,939075691816683",1,0,3
hy,"2,45150501672241","0,934304356041492",2,1,5
cisimot,"2,81047937569677","1,18857164702892",3,0,6
cisidis,"2,41583054626533","1,34790479203698",2,0,6
cisicomp,"1,7123745819398","1,72034589614674",1,0,6
cisicog,"1,35451505016722","1,36574164426935",1,0,6
nms1,"1,40802675585284","2,52723164450701",0,0,12
nms2,"0,312151616499443","1,24579540506156",0,0,12
nms3,"1,89409141583055","2,88564386161877",0,0,12
nms4,"3,11482720178372","3,68866095498982",1,0,12
nms5,"2,36120401337793","3,61312245929705",0,0,12
nms6,"1,32998885172798","2,67434974153609",0,0,12
nms7,"1,40691192865106","2,66560372961752",0,0,12
nms8,"1,91304347826087","3,16425653352219",0,0,12
nms9,"2,0133779264214","3,1742264708879",0,0,12
nms10,"2,17391304347826","3,28940221399966",0,0,12
nms11,"1,1371237458194","2,46451009766652",0,0,12
nms12,"1,42251950947603","2,89759465862662",0,0,12
nms13,"0,61092530657748","1,82590881603089",0,0,12
nms14,"0,421404682274248","1,70500478833257",0,0,12
nms15,"0,597547380156076","1,8497449764609",0,0,12
nms16,"1,96321070234114","2,98504194177754",0,0,12
nms17,"1,84057971014493","2,86609702619452",0,0,12
nms18,"1,55406911928651","2,75357471552293",0,0,12
nms19,"1,84057971014493","3,22036677469525",0,0,12
nms20,"1,05239687848384","2,26890307106388",0,0,12
nms21,"2,6164994425864","3,81258428013544",0,0,12
nms22,"2,39576365663322","3,41322662036036",0,0,12
nms23,"2,34113712374582","3,46049323618026",0,0,12
nms24,"3,31326644370123","3,78273983774256",2,0,12
nms25,"1,82720178372352","3,42101832500161",0,0,12
nms26,"1,69788182831661","3,42801059932078",0,0,12
nms27,"1,69565217391304","3,22758635277141",0,0,12
nms28,"2,34002229654404","3,5914850315218",0,0,12
nms29,"1,50055741360089","2,6382001696937",1,0,12
nms30,"1,55183946488294","3,08832758299925",0,0,12
nms_d1,"1,72017837235229","3,24600798293699",0,0,24
nms_d2,"8,70011148272018","8,61246047503188",6,0,48
nms_d3,"8,65997770345597","11,5650959054853",4,0,60
nms_d4,"1,6298773690078","3,86102307733259",0,0,33
nms_d5,"5,35785953177258","7,37349614587832",2,0,36
nms_d6,"5,50947603121516","6,777076106334",3,0,36
nms_d7,"8,05016722408027","8,91106495627995",5,0,36
nms_d8,"3,52508361204013","5,97966099010783",0,0,24
nms_d9,"7,08807134894091","7,76640274299062",4,0,48
nmstot,"50,2408026755853","41,503495800242",39,0,225
scmmotex,"11,5484949832776","6,5752970862597",10,0,41
scmadl,"6,81047937569677","4,19951388208627",7,0,21
scmmotcp,"2,72798216276477","3,01810527123441",2,0,12
scmtot,"21,0869565217391","12,0824556152982",19,1,72
cisitot,"8,29319955406912","4,61217920357532",8,0,24
nms_d1c,"0,415830546265329","0,49313954831318",0,0,1
nms_d2c,"0,837235228539576","0,369356860454368",1,0,1
nms_d3c,"0,709030100334448","0,454463056641447",1,0,1
nms_d4c,"0,272017837235229","0,44524728246068",0,0,1
nms_d5c,"0,668896321070234","0,470872821013317",1,0,1
nms_d6c,"0,697881828316611","0,459432364583744",1,0,1
nms_d7c,"0,777034559643255","0,416467542800257",1,0,1
nms_d8c,"0,420289855072464","0,493880774541486",0,0,1
nms_d9c,"0,819397993311037","0,384902693692887",1,0,1
nms1_c,"0,402452619843924","0,490665778828905",0,0,1
nms2_c,"0,099219620958751","0,299123447354843",0,0,1
nms3_c,"0,45819397993311","0,498527154663548",0,0,1
nms4_c,"0,620958751393534","0,485419065401826",1,0,1
nms5_c,"0,454849498327759","0,498235059854894",0,0,1
nms6_c,"0,31438127090301","0,464527988168298",0,0,1
nms7_c,"0,347826086956522","0,476546192191193",0,0,1
nms8_c,"0,433667781493868","0,495856979351879",0,0,1
nms9_c,"0,463768115942029","0,498963729455989",0,0,1
nms10_c,"0,477146042363434","0,499756072048764",0,0,1
nms11_c,"0,289855072463768","0,453948059341276",0,0,1
nms12_c,"0,313266443701226","0,464080467208644",0,0,1
nms13_c,"0,163879598662207","0,370372789692334",0,0,1
nms14_c,"0,089186176142698","0,285171286851257",0,0,1
nms15_c,"0,15273132664437","0,359929011245064",0,0,1
nms16_c,"0,483835005574136","0,500017418871611",0,0,1
nms17_c,"0,48494983277592","0,50005225479452",0,0,1
nms18_c,"0,412486064659978","0,492556373763052",0,0,1
nms19_c,"0,399108138238573","0,489988254358348",0,0,1
nms20_c,"0,293199554069119","0,455483109495308",0,0,1
nms21_c,"0,47603121516165","0,499703786281959",0,0,1
nms22_c,"0,498327759197324","0,500276142092415",0,0,1
nms23_c,"0,460423634336678","0,498709315180635",0,0,1
nms24_c,"0,647714604236343","0,477948806165991",1,0,1
nms25_c,"0,33221850613155","0,471271652085001",0,0,1
nms26_c,"0,285395763656633","0,451854665744692",0,0,1
nms27_c,"0,348940914158306","0,476901145918293",0,0,1
nms28_c,"0,397993311036789","0,489757123617186",0,0,1
nms29_c,"0,544035674470457","0,498334940588783",1,0,1
nms30_c,"0,29654403567447","0,456988500302953",0,0,1
num_nms,"11,4425863991081","5,98484816756349",11,0,30
dom1_n,"1,25306577480491","0,650852865202313",1,0,2
dom2_n,"1,84838350055741","1,22263810025361",2,0,4
dom3_n,"2,32552954292085","2,07099047146224",2,0,6
dom4_n,"0,405797101449275","0,751701830396831",0,0,3
dom5_n,"1,38127090301003","1,19223929800907",1,0,3
dom6_n,"1,16833890746934","0,999766057999481",1,0,3
dom7_n,"1,60646599777035","1,12603251091584",2,0,3
dom8_n,"0,617614269788183","0,79468216814496",0,0,2
dom9_n,"1,58751393534002","1,12071612751734",2,0,4
domns,"5,61761426978818","2,02711576378759",6,0,9
tremor,"2,59197324414716","2,57924888000317",2,0,12
bradykin,"2,40133779264214","1,407695049068",2,0,6
rigidity,"2,23745819397993","1,35966341549666",2,0,6
axial,"3,24860646599777","2,67836086394324",3,0,12
pigd,"3,30657748049052","2,70925398124541",3,0,12
